billid,date,billstage,chambername,legistype
462,12-Dec-2018,AMENDED,Senate,Senate Amendment to House Amendment:
462,12-Dec-2018,AMENDED,Senate,Senate Amendment to House Amendment:
462,13-Dec-2018,AMENDED,Senate,Senate Amendment to House Amendment:
462,13-Dec-2018,AMENDED,Senate,Senate Amendment to House Amendment:
462,13-Dec-2018,AMENDED,Senate,Senate Amendment to House Amendment:
462,13-Dec-2018,AMENDED,Senate,Senate Amendment to House Amendment:
585,27-Sep-2017,AMENDED,House of Representatives,HOUSE AMENDMENT TO SENATE AMENDMENT:
585,27-Sep-2017,AMENDED,House of Representatives,HOUSE AMENDMENT TO SENATE AMENDMENT:
569,11-Jan-2018,AMENDED,House of Representatives,Amendment:
569,11-Jan-2018,AMENDED,House of Representatives,Amendment:
149,15-Mar-2018,AMENDED,House of Representatives,Amendment:
149,15-Mar-2018,AMENDED,House of Representatives,Amendment:
567,21-Aug-2018,AMENDED,House of Representatives,HOUSE AMENDMENT TO SENATE AMENDMENT:
567,21-Aug-2018,AMENDED,House of Representatives,HOUSE AMENDMENT TO SENATE AMENDMENT:
260,24-Jan-2017,ENGROSSED,Senate,AN ACT
260,24-Jan-2017,ENGROSSED,Senate,AN ACT
533,26-Jun-2017,ENGROSSED,Senate,AN ACT
533,26-Jun-2017,ENGROSSED,Senate,AN ACT
432,5-Dec-2017,ENGROSSED,Senate,AN ACT
432,5-Dec-2017,ENGROSSED,Senate,AN ACT
113,14-Jun-2018,ENGROSSED,Senate,AN ACT
113,14-Jun-2018,ENGROSSED,Senate,AN ACT
15,20-Nov-2018,ENGROSSED,Senate,AN ACT
15,20-Nov-2018,ENGROSSED,Senate,AN ACT
318,13-Dec-2018,ENGROSSED,Senate,AN ACT
318,13-Dec-2018,ENGROSSED,Senate,AN ACT
432,22-Dec-2018,ENGROSSED,Senate,AN ACT
432,22-Dec-2018,ENGROSSED,Senate,AN ACT
432,28-Dec-2018,ENGROSSED,Senate,AN ACT
432,28-Dec-2018,ENGROSSED,Senate,AN ACT
432,28-Dec-2018,ENGROSSED,Senate,AN ACT
432,28-Dec-2018,ENGROSSED,Senate,AN ACT
432,28-Dec-2018,ENGROSSED,Senate,AN ACT
432,28-Dec-2018,ENGROSSED,Senate,AN ACT
245,7-Mar-2017,ENGROSSED,House of Representatives,AN ACT
245,7-Mar-2017,ENGROSSED,House of Representatives,AN ACT
395,10-Mar-2017,ENGROSSED,House of Representatives,AN ACT
395,10-Mar-2017,ENGROSSED,House of Representatives,AN ACT
493,30-Mar-2017,ENGROSSED,House of Representatives,AN ACT
493,30-Mar-2017,ENGROSSED,House of Representatives,AN ACT
557,22-Jun-2017,ENGROSSED,House of Representatives,AN ACT
576,22-Jun-2017,ENGROSSED,House of Representatives,AN ACT
557,22-Jun-2017,ENGROSSED,House of Representatives,AN ACT
576,22-Jun-2017,ENGROSSED,House of Representatives,AN ACT
594,18-Jul-2017,ENGROSSED,House of Representatives,AN ACT
